prompt,response_id,response,score
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,1,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me? explained using AI concepts,2
How can I be a good geologist?,1,How can I be a good geologist? explained using AI concepts,2
How can I increase the speed of my internet connection while using a VPN?,1,How can I increase the speed of my internet connection while using a VPN? explained using AI concepts,2
Motorola (company): Can I hack my Charter Motorolla DCX3400?,1,Motorola (company): Can I hack my Charter Motorolla DCX3400? explained using AI concepts,2
Should I buy tiago?,1,Should I buy tiago? explained using AI concepts,2
What is the step by step guide to invest in share market in india?,1,What is the step by step guide to invest in share market in india? explained using AI concepts,2
What is the story of Kohinoor (Koh-i-Noor) Diamond?,1,What is the story of Kohinoor (Koh-i-Noor) Diamond? explained using AI concepts,2
When do you use シ instead of し?,1,When do you use シ instead of し? explained using AI concepts,2
"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",1,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide? explained using AI concepts",2
Why am I mentally very lonely? How can I solve it?,1,Why am I mentally very lonely? How can I solve it? explained using AI concepts,2
